CHAPTER	WORD_POSITION	WINNER	NOUN	PRONOUN	ADJECTIVE	VERB	AUXILIARY-VERB	ADVERB	PREPOSITON	CONJUCTION	INTERJECTION	UNKNOWN	
1	1	Noun	6	0	6	4	0	0	0	0	0	0	
1	2	Noun	10	0	2	3	0	0	0	0	0	1	
1	3	Noun	11	0	3	2	0	0	0	0	0	0	
1	4	Noun	8	0	3	5	0	0	0	0	0	0	
1	5	Noun	7	0	6	3	0	0	0	0	0	0	
1	6	Noun	8	0	5	1	0	0	0	0	0	2	
1	7	Noun	7	0	4	4	0	1	0	0	0	0	
1	8	Noun	7	0	4	3	0	0	0	0	0	2	
1	9	Noun	11	0	3	1	0	0	0	0	0	1	
1	10	Noun	6	0	4	6	0	0	0	0	0	0	
1	11	Noun	9	0	3	3	0	0	0	0	0	1	
1	12	Noun	11	0	2	2	0	0	0	0	0	1	
1	13	Verb	5	0	3	8	0	0	0	0	0	0	
1	14	Noun	6	0	2	3	0	0	0	0	0	1	
2	1	Noun	12	0	11	10	0	4	0	0	0	3	
2	2	Noun	16	0	8	4	3	3	0	0	0	6	
2	3	Noun	17	0	7	12	0	3	0	0	0	1	
2	4	Noun	17	0	11	9	0	0	0	0	0	3	
2	5	Noun	14	0	10	13	0	2	0	0	0	1	
2	6	Noun	18	0	11	9	0	0	0	0	0	2	
2	7	Noun	24	0	12	3	0	1	0	0	0	0	
2	8	Noun	18	0	9	8	2	2	0	0	0	1	
2	9	Noun	21	0	8	10	0	1	0	0	0	0	
2	10	Noun	22	0	13	4	0	0	0	0	0	1	
2	11	Noun	21	0	4	14	0	1	0	0	0	0	
2	12	Noun	17	0	11	8	0	1	0	0	0	3	
2	13	Noun	17	0	8	8	0	1	0	0	0	0	
3	1	Noun	11	0	9	5	1	0	0	0	0	0	
3	2	Noun	12	0	6	6	0	2	0	0	0	0	
3	3	Noun	13	0	9	3	1	0	0	0	0	0	
3	4	Noun	11	0	9	6	0	0	0	0	0	0	
3	5	Noun	14	0	4	5	2	0	0	0	0	1	
3	6	Noun	13	0	10	3	0	0	0	0	0	0	
3	7	Noun	11	0	8	4	0	1	0	0	0	2	
3	8	Noun	12	0	7	4	0	2	0	0	0	1	
3	9	Noun	12	0	3	10	0	1	0	0	0	0	
3	10	Noun	12	0	4	9	1	0	0	0	0	0	
3	11	Adjective	10	0	11	4	0	1	0	0	0	0	
3	12	Noun	17	0	6	2	0	0	0	0	0	1	
3	13	Noun	13	0	6	2	0	2	0	0	0	0	
4	1	Noun	24	0	11	9	0	0	0	0	0	0	
4	2	Noun	22	0	15	4	0	3	0	0	0	0	
4	3	Noun	20	0	13	9	0	2	0	0	0	0	
4	4	Noun	19	0	16	9	0	0	0	0	0	0	
4	5	Noun	22	0	9	11	0	2	0	0	0	0	
4	6	Noun	23	0	9	8	0	3	0	0	0	1	
4	7	Noun	20	0	13	6	1	4	0	0	0	0	
4	8	Noun	16	0	11	14	0	2	0	0	0	1	
4	9	Noun	20	0	13	7	0	4	0	0	0	0	
4	10	Noun	20	0	12	9	1	2	0	0	0	0	
4	11	Noun	21	0	14	6	1	2	0	0	0	0	
4	12	Noun	19	0	10	6	1	2	0	0	0	1	
5	1	Noun	20	0	5	7	0	1	0	0	0	0	
5	2	Noun	19	0	7	6	0	0	0	0	0	1	
5	3	Noun	18	0	9	2	0	1	0	0	0	3	
5	4	Noun	17	0	8	4	0	4	0	0	0	0	
5	5	Noun	18	0	6	7	0	1	0	0	0	1	
5	6	Noun	14	0	9	7	0	3	0	0	0	0	
5	7	Noun	21	0	6	3	0	1	0	0	0	2	
5	8	Noun	21	0	6	3	0	2	0	0	0	1	
5	9	Noun	19	0	9	4	0	1	0	0	0	0	
5	10	Noun	19	0	9	4	0	1	0	0	0	0	
5	11	Noun	19	0	9	3	0	1	0	0	0	1	
5	12	Noun	17	0	9	5	0	2	0	0	0	0	
5	13	Noun	14	0	8	4	0	1	0	0	0	2	
6	1	Noun	13	0	2	3	1	3	0	0	0	0	
6	2	Noun	8	0	5	5	0	4	0	0	0	0	
6	3	Noun	9	0	5	5	0	3	0	0	0	0	
6	4	Noun	11	0	7	0	0	4	0	0	0	0	
6	5	Noun	14	0	7	0	1	0	0	0	0	0	
6	6	Noun	10	0	8	2	0	2	0	0	0	0	
6	7	Noun	10	0	8	2	0	2	0	0	0	0	
6	8	Noun	12	0	6	3	0	1	0	0	0	0	
6	9	Noun	11	0	5	5	0	1	0	0	0	0	
6	10	Noun	14	0	5	3	0	0	0	0	0	0	
6	11	Noun	10	0	10	2	0	0	0	0	0	0	
6	12	Noun	11	0	6	3	1	1	0	0	0	0	
6	13	Noun	12	0	7	3	0	0	0	0	0	0	
6	14	Noun	11	0	7	1	0	1	0	0	0	0	
7	1	Noun	10	0	6	5	0	1	0	0	0	0	
7	2	Noun	10	0	2	8	0	1	0	0	0	1	
7	3	Noun	8	0	6	6	0	1	0	0	0	1	
7	4	Verb	9	0	3	10	0	0	0	0	0	0	
7	5	Noun	14	0	3	4	0	0	0	0	0	1	
7	6	Noun	10	0	3	8	0	1	0	0	0	0	
7	7	Noun	12	0	5	2	1	1	0	0	0	1	
7	8	Noun	14	0	5	3	0	0	0	0	0	0	
7	9	Adjective	7	0	8	4	1	1	0	0	0	1	
7	10	Noun	9	0	6	4	1	1	0	0	0	1	
7	11	Noun	11	0	5	5	0	1	0	0	0	0	
7	12	Noun	13	0	3	6	0	0	0	0	0	0	
7	13	Noun	12	0	6	4	0	0	0	0	0	0	
7	14	Noun	14	0	4	0	0	0	0	0	0	0	
8	1	Noun	20	0	8	3	1	1	0	0	0	0	
8	2	Noun	21	0	6	5	0	1	0	0	0	0	
8	3	Noun	16	0	9	4	1	1	0	0	0	2	
8	4	Noun	13	0	9	8	0	2	0	0	0	1	
8	5	Noun	15	0	11	3	0	2	0	0	0	2	
8	6	Noun	18	0	10	4	0	0	0	0	0	1	
8	7	Noun	15	0	8	4	0	4	0	0	0	2	
8	8	Noun	12	0	10	10	0	1	0	0	0	0	
8	9	Noun	12	0	8	10	1	0	0	0	0	2	
8	10	Noun	18	0	8	4	0	0	1	0	0	2	
8	11	Noun	17	0	7	5	0	3	0	0	0	1	
8	12	Noun	19	0	6	4	0	2	0	0	0	2	
8	13	Noun	20	0	6	3	0	1	0	0	0	0	
9	1	Noun	14	0	5	3	1	3	0	0	0	1	
9	2	Noun	9	0	4	9	0	4	0	0	0	1	
9	3	Noun	15	0	9	3	0	0	0	0	0	0	
9	4	Noun	11	0	6	6	1	2	0	0	0	1	
9	5	Noun	11	0	11	3	1	0	0	0	0	1	
9	6	Noun	15	0	6	5	0	1	0	0	0	0	
9	7	Noun	12	0	5	6	0	4	0	0	0	0	
9	8	Noun	15	0	7	4	0	0	0	0	0	1	
9	9	Noun	17	0	3	6	1	0	0	0	0	0	
9	10	Noun	9	0	8	6	0	2	0	0	0	2	
9	11	Noun	15	0	6	5	0	0	0	0	0	1	
9	12	Noun	13	0	6	5	2	1	0	0	0	0	
9	13	Noun	11	0	6	7	0	0	0	0	0	3	
9	14	Noun	15	0	5	5	0	2	0	0	0	0	
9	15	Noun	10	0	7	5	0	1	0	0	0	0	
10	1	Noun	13	0	10	4	1	0	0	0	0	1	
10	2	Noun	15	0	8	5	0	0	0	0	0	1	
10	3	Adjective	11	0	12	4	1	0	0	0	0	1	
10	4	Noun	18	0	4	6	0	1	0	0	0	0	
